headline,predicted_category
Panic grips Hyderabad as petrol stations run dry amid truck drivers' strike,transport
Six killed in car-lorry accident in Telangana's Nalgonda,transport
"Hyderabad | Lorry driver drags motorist along the road, arrested",transport
Hyderabad lorry driver drags bike for one kilometre after hitting a car,transport
Hyderabad Motorists Panic-Buy Petrol Amid Truckers' Protest,transport
"Viral Video: Rider Hangs From Truck, His Bike Dragged On Road After Crash",transport
"Hyderabad: Man stands on truck's footboard as it drags his bike - India 
Today",transport
"Watch: Man clings to lorry footboard as bike gets dragged under front 
wheels in Hyderabad",transport
Hyderabad: Lorry owners on Strike today,transport
Lorry drivers protest new hit-&-run norm,transport
"Police notify entry and exit timings based on vehicle types to ease traffic 
congestion in Hyderabad",transport
Eight from Raichur killed in lorry-mini truck collision near Hyderabad,transport
"Viral video: Hyderabad man hangs on to truck as driver races away with bike 
under wheel for 2km",transport
Hyderabad techie killed in bike-lorry collision,transport
"Telangana elections: Truck with Rs 750 crore cash sends Telangana cops on 
poll duty into tizzy",transport
Lorries banned from being parked along Telangana highways,transport
"Homemaker killed, three others injured in car-lorry collision in Hyderabad",transport
3 hurt as lorry loses control,transport
"One killed, 3 injured as car hits parked lorry",transport
2 dead & 4 injured as SUV rams into lorry on ORR,transport
"Container lorry creates ruckus at Moosapet in Hyderabad, no casualties",transport
"2 dead, 2 hurt as car rams parked lorry",transport
"Hyderabad: 6 Killed After Car Collides With Lorry On National Highway At 
Durgapuram",transport
"Nationwide lorry strike hits hard, prices soar",transport
6 Burnt Alive In Bus-Truck Collision on Hyderabad-Vijayawada Highway,transport
6 Dead As Bus Collides With Tipper Lorry In Telangana,transport
"Hyderabad city police enforce curbs on lorries, pvt buses, trucks on roads",transport
"Hyderabad: Couple Killed Hours After Birthday Celebration As Car Rams 
Parked Truck",transport
"Hyderabad Man Hangs On Side Of Speeding Truck As Vehicle Drags His 
Two-Wheeler Underneath | WATCH",transport
"Hyderabad: Couple Killed Hours After Birthday Celebration As Car Rams 
Parked Truck",transport
"Hyderabad Man Hangs On Side Of Speeding Truck As Vehicle Drags His 
Two-Wheeler Underneath | WATCH",transport
"Woman, son killed as truck hits two-wheeler in Hyderabad",transport
"Oil spills from lorry at Masab Tank, traffic hit",transport
School girl dies after lorry hits two-wheeler in Hyderabad,transport
"3 college students die, 2 critical after car rams into stationary truck 
near Hyderabad",transport
