Primary Keywords,Secondary Keywords
Road Logistics,Issue
Driver Strike,Strike
Lorry,Strike
Diesel Fuel,Hike
Diesel Fuel Import Export,Issue
Airlines Logistic,Issue
Airlines Cargo,Strike
Shipping,Restrictions
Cargo Ship,Accident
Cargo Ships,Crash
SIPCOT,Issues News Strike Restrictions
Raw Material,Import Issue
Raw Material,Export Issue
Raw Material,Demand Issue
Raw Material,Hike
Skill Labour,Shortage in Industries
Economic Downturns,Industries
Economic Downturns,Country Region
Economic Downturns,Company
Labour,Strike
Electicity Board,Strike
Electicity Production,Issue - Affected region
Water Supply,Issue
Water,Shortage
Industry Waste Water,Restrcition by Government
Water,Recycle
Supplier (Company),Ban Financial Crisis Negative News
Customer (Company),Ban Financial Crisis Negative News
Cyclone,Hit Crisis Impact
Floods,Hit Crisis Impact
Hurricane,Hit Crisis Impact
Tsunami,Hit Crisis Impact
Tornadoes,Hit Crisis Impact
Earthquakes,Hit Crisis Impact
Land slides,Hit Crisis Impact
Blizzards,Hit Crisis Impact
Storm,Hit Crisis Impact
Wildfires,Hit Crisis Impact
Fire Accidents,Industies
Building Tunnel,Collapse
Pandemic,Status Implement Relaxation
Epedemic,Status Implement Relaxation
Lockdown,Initiated
Lockdown,Restriction
Lockdown,Impact Industies
Lockdown,Duration
Ban,Export Import Company Product
Export,Restrictions
Import,Restrictions
Government Law Tax,Implemented Impact Supply Chain
Government,Restrictions that Impact Supply Chain
Revised Law,Implement Restrict
Customs,Restrictions that Impact Supply Chain
War,Declared Impact Restriction Status Relaxation
Terrorist,Attack Hijack Hostages Blast Threats
